,facname,zipcode,boro,cd,latitude,longitude,geometry,index_right,PUMA,Shape_Leng,Shape_Area
17,X158,10456,BRONX,203,40.8273558434,-73.9006161108,POINT (-73.90061468880309 40.8273475614725),9,3710,90067.9543636,137760289.541
18,CSS OUTREACH,10301,STATEN ISLAND,501,40.6411928112,-74.0764746757,POINT (-74.0764732082026 40.64118457112139),22,3903,153890.524919,376477826.274
19,"PROJECT HOSPITALITY, INC. OP",10302,STATEN ISLAND,501,40.6380412169,-74.1321378022,POINT (-74.132136317478 40.63803298037107),22,3903,153890.524919,376477826.274
20,HIGHLAND CARE CENTER,11432,QUEENS,412,40.7086461815,-73.7852776361,POINT (-73.78527625838146 40.70863791844301),52,4112,72793.6040684,260049220.98
21,BALTIC RESOURCE AND WELLNESS CENTER,11232,BROOKLYN,307,40.6579802537,-74.0054392742,POINT (-74.00543782989982 40.65797200790652),34,4012,96983.6271364,112208109.35
22,BLANTON-PEALE INSTITUTE,10001,MANHATTAN,105,40.7464419901,-73.9870449812,POINT (-73.98704353730307 40.74643372612292),16,3807,71863.8360436,85622064.5857
23,CASA PROMESA,10457,BRONX,205,40.8463501056,-73.9040765116,POINT (-73.90407508784098 40.8463418191835),6,3707,37374.595308,42281071.5105
24,EMERGENCY SERVICE,10467,BRONX,207,40.8804599371,-73.881092752,POINT (-73.88109133304263 40.88045164388618),5,3706,51826.0737093,43886930.6821
25,MHHC MOBILE UNIT,10453,BRONX,205,40.854837544,-73.9101543472,POINT (-73.91015292126337 40.85482925659407),6,3707,37374.595308,42281071.5105
26,MY TIME INC,11236,BROOKLYN,318,40.6434894272,-73.9015166018,POINT (-73.90151519131918 40.64348118106782),31,4009,368930.937178,343640810.866
27,MEDIDENTAL CARE,11105,QUEENS,401,40.7753308145,-73.9120895484,POINT (-73.91208812611039 40.77532254237582),41,4101,76015.2039665,143819416.07
28,REGO PARK NURSING HOME,11368,QUEENS,404,40.7400919021,-73.8489980317,POINT (-73.84899663238038 40.74008363512054),47,4107,100417.206182,107515663.696
29,MOUNT SINAI BETH ISRAEL,10003,MANHATTAN,106,40.732666,-73.981598,POINT (-73.98159655802867 40.73265773859801),17,3808,43083.5505189,44952037.8009
30,MONTEFIORE DENTAL CENTER@BRONX MUNI HOSP,10461,BRONX,211,40.857151,-73.843781,POINT (-73.84377959476333 40.85714270963213),3,3704,47970.2030233,106216908.278
31,PROJECT RENEWAL INC,10003,MANHATTAN,103,40.7258636682,-73.9909965101,POINT (-73.99099506520258 40.72585540840976),18,3809,36351.6176183,48695493.6207
32,"SAMARITAN DAYTOP VILLAGE, INC  OP",11435,QUEENS,408,40.7083599923,-73.8187369037,POINT (-73.81873551496416 40.70835173026536),46,4106,79842.9340986,207308619.71
33,ATARA HOME CARE,10466,BRONX,212,40.8819207339,-73.839584757,POINT (-73.83958335100489 40.88191243904956),1,3702,106167.592328,188993662.687
34,MONTEFIORE MEDICAL CENTER OTP 1,10461,BRONX,211,40.8459085674,-73.8407624202,POINT (-73.84076101695329 40.84590027890851),3,3704,47970.2030233,106216908.278
35,BRONXCARE ADDICTIONS DETOX PROG MSW-IP,10456,BRONX,203,40.8314063787,-73.9032190446,POINT (-73.9032176223639 40.83139809561181),4,3705,68697.5999192,122483690.262
36,CHN - COMMUNITY LEAGUE CENTER,10032,MANHATTAN,112,40.8333921854,-73.9424473891,POINT (-73.94244595340375 40.83338390247808),10,3801,62589.0551493,81247268.6263
37,GEORGE WASHINGTON HIGH SCHOOL,10040,MANHATTAN,112,40.855598693,-73.9261913805,POINT (-73.9261899486764 40.85559040556113),10,3801,62589.0551493,81247268.6263
38,SOUTH BEACH ATC IP,10305,STATEN ISLAND,502,40.5829065937,-74.0785390069,POINT (-74.07853754368575 40.58289836566786),21,3902,153372.622901,675481898.963
39,MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,10461,BRONX,210,40.8406781753,-73.8484016456,POINT (-73.84840023963297 40.84066988880546),8,3709,73288.7773801,124117768.897
40,"NEW YORK RENAL ASSOCIATES, INC",10456,BRONX,203,40.8306411068,-73.9082622218,POINT (-73.90826079669853 40.83063282376644),4,3705,68697.5999192,122483690.262
41,MMG - VIA VERDE,10455,BRONX,201,40.818931459,-73.9122787783,POINT (-73.91227735345116 40.81892317866417),9,3710,90067.9543636,137760289.541
42,CARMEL RICHMOND HEALTHCARE AND REHABILITATION CENTER,10304,STATEN ISLAND,502,40.5954066203,-74.090515945,POINT (-74.09051447716861 40.59539838950318),21,3902,153372.622901,675481898.963
43,METHADONE 1,10467,BRONX,207,40.8839217749,-73.8799418507,POINT (-73.87994043245911 40.88391348087185),5,3706,51826.0737093,43886930.6821
44,RAMON VELEZ RECOVERY CENTER OP,10457,BRONX,205,40.846125658,-73.9043135475,POINT (-73.90431212301125 40.84611737191429),6,3707,37374.595308,42281071.5105
45,"QUEENS DIALYSIS AT THE PAVILION, LLC",11354,QUEENS,407,40.764136704,-73.8227905891,POINT (-73.82278919602841 40.76412843054859),43,4103,149451.567392,329873810.656
46,URBAN PATHWAYS INC,10456,BRONX,203,40.8335435778,-73.8970209261,POINT (-73.89701950545853 40.83353529426271),4,3705,68697.5999192,122483690.262
47,REGO PARK COUNSELING LLC OP,11374,QUEENS,406,40.7318702207,-73.8571120743,POINT (-73.85711067263409 40.73186195497541),48,4108,37999.6381715,77765102.8446
48,SUNSET TERRACE FAMILY HEALTH CENTER AT NYU LANGONE,11220,BROOKLYN,307,40.6451511767,-74.0092639602,POINT (-74.0092625141239 40.64514293369552),34,4012,96983.6271364,112208109.35
49,NEW YORK EYE AND EAR INFIRMARY OF MOUNT SINAI,10003,MANHATTAN,103,40.7318750575,-73.9845993713,POINT (-73.98459792832145 40.73186679720892),18,3809,36351.6176183,48695493.6207
50,OUTREACH DEVELOPMENT CORP. CR,11418,QUEENS,409,40.7002527975,-73.8319922886,POINT (-73.83199089746856 40.700244537002),51,4111,56320.396492,132524480.546
51,PS 136 CHARLES O. DEWEY/SUNSET PARK PREP MS 821,11232,BROOKLYN,307,40.6522070432,-74.0076305064,POINT (-74.0076290612546 40.65219879861873),34,4012,96983.6271364,112208109.35
52,"HANAC, INC OP",11102,QUEENS,401,40.7664708021,-73.921071567,POINT (-73.92107014205081 40.7664625328292),41,4101,76015.2039665,143819416.07
53,NYU LANGONE ORTHOPEDIC CENTER,10016,MANHATTAN,106,40.7467697772,-73.9719379809,POINT (-73.9719365415352 40.74676151286059),17,3808,43083.5505189,44952037.8009
54,CENTRAL PARK DIALYSIS CENTER,10029,MANHATTAN,111,40.7937471697,-73.9509696102,POINT (-73.95096817401924 40.79373889557289),13,3804,62599.5024685,64612123.1374
55,THE ENDOSCOPY CENTER OF NEW YORK,10128,MANHATTAN,108,40.783471899,-73.9500444517,POINT (-73.95004301678082 40.78346362700179),14,3805,54449.5033787,55222267.9563
56,VISITING NURSE SERVICE OF NEW YORK HOMECARE II,10455,BRONX,201,40.8184162004,-73.9137470888,POINT (-73.91374566358949 40.81840791986168),9,3710,90067.9543636,137760289.541
57,ALLHEALTH D & T CENTER-BROOKLYN,11230,BROOKLYN,314,40.6306344004,-73.9666546541,POINT (-73.96665322275079 40.63062615859065),37,4015,50007.9713088,81045770.1741
58,THE CHILD CENTER OF NY INC,11434,QUEENS,412,40.684533524,-73.7922755954,POINT (-73.79227421634754 40.68452526538479),52,4112,72793.6040684,260049220.98
59,THE MOUNT SINAI HOSPITAL,10029,MANHATTAN,111,40.7915844528,-73.9520593669,POINT (-73.95205793159109 40.7915761792862),13,3804,62599.5024685,64612123.1374
60,BMS AT ASHFORD,11207,BROOKLYN,305,40.66584766,-73.8833829291,POINT (-73.88338152325197 40.66583940911389),29,4007,44860.7781372,72205366.5338
61,DOWNTOWN BROOKLYN DIALYSIS,11231,BROOKLYN,306,40.6752580105,-74.0012418912,POINT (-74.00124044643047 40.67524976154442),27,4005,95462.4834828,114514600.094
62,NYP/QUEENS PRIMARY CARE CENTER,11365,QUEENS,411,40.7400242955,-73.7915305585,POINT (-73.79152917660207 40.74001602631962),44,4104,104978.089545,260047824.698
63,INSTITUTE FOR URBAN FAMILY HEALTH/SIDNEY HILLMAN CENTER,10003,MANHATTAN,105,40.7366558055,-73.991979361,POINT (-73.99197791562425 40.73664754318589),16,3807,71863.8360436,85622064.5857
64,"LA CASA DE SALUD, INC.",11207,BROOKLYN,304,40.6840191968,-73.9092708093,POINT (-73.90926939411631 40.6840109432233),24,4002,44917.4130232,70686985.4608
65,"PREMIER HOME HEALTH CARE SERVICES, INC.",10018,MANHATTAN,105,40.753926,-73.987598,POINT (-73.98759655478477 40.75391773439174),16,3807,71863.8360436,85622064.5857
66,"ADVANCED HUMAN SERVICES, INC. MSW-OP",11375,QUEENS,406,40.7213239783,-73.8379242514,POINT (-73.83792285662969 40.72131571470756),48,4108,37999.6381715,77765102.8446
67,STATEN ISLAND ARTIFICIAL KIDNEY CENTER,10314,STATEN ISLAND,502,40.610330598,-74.1605804099,POINT (-74.16057891834514 40.61032236704841),21,3902,153372.622901,675481898.963
68,CHN - DR. BETTY SHABAZZ CENTER,11208,BROOKLYN,305,40.669985973,-73.8813310314,POINT (-73.88132962581791 40.66997772069709),30,4008,97558.4670821,164339106.08
69,AVICENNA ASC,10458,BRONX,206,40.8584096108,-73.8836891852,POINT (-73.88368776713058 40.85840132214406),4,3705,68697.5999192,122483690.262
70,BROOKDALE URGENT CARE AND FAMILY CARE CENTER,11212,BROOKLYN,317,40.6544798245,-73.9134832924,POINT (-73.91348187735932 40.65447157624311),32,4010,49993.7073847,85916208.8562
71,PS7 - MS STERN,10035,MANHATTAN,111,40.8007897709,-73.9393407073,POINT (-73.93933927566766 40.80078149448866),13,3804,62599.5024685,64612123.1374
72,APEX EYE SURGERY CENTER,11416,QUEENS,409,40.6864280372,-73.8374723708,POINT (-73.83747097752781 40.68641978071206),51,4111,56320.396492,132524480.546
73,THE NEW YORK FOUNDLING HOSPITAL,11101,QUEENS,401,40.7516304352,-73.9310486785,POINT (-73.93104725168834 40.75162216845176),49,4109,95211.0194607,167050353.269
74,ESPERANZA NY INC,10012,MANHATTAN,102,40.7261369696,-73.9955832779,POINT (-73.99558183129211 40.72612871009476),19,3810,122526.958548,81024704.0028
75,STATEN ISLAND UNIVERSITY HOSP-SOUTH,10309,STATEN ISLAND,503,40.5168417745,-74.1962829453,POINT (-74.1962814485027 40.51683356397799),20,3901,189931.874969,571035855.977
76,CHCR STAPLETON ST. GEORGE HEALTH CENTER,10304,STATEN ISLAND,501,40.6269353666,-74.0782710119,POINT (-74.07826954506895 40.62692712985988),22,3903,153890.524919,376477826.274
77,ALL-MED REHABILITATION CENTER QUEENS,11418,QUEENS,409,40.6964182867,-73.8373242246,POINT (-73.83732283130919 40.69641002734505),51,4111,56320.396492,132524480.546
78,COUNSELING SERVICE OF E.D.N.Y. OP 3,11201,BROOKLYN,302,40.6934796882,-73.9914138748,POINT (-73.99141243227352 40.69347143484617),26,4004,73010.0956282,86682052.0213
79,ROGOSIN KIDNEY CENTER - AUBURNDALE,11358,QUEENS,407,40.7608995295,-73.7939544585,POINT (-73.79395307464151 40.76089125630602),43,4103,149451.567392,329873810.656
80,"SURGICARE OF MANHATTAN, LLC",10017,MANHATTAN,106,40.7500615704,-73.9716578549,POINT (-73.97165641511327 40.75005330598774),17,3808,43083.5505189,44952037.8009
81,LITTLE NECK CARE CENTER,11362,QUEENS,411,40.7661989165,-73.724222247,POINT (-73.72422088521877 40.76619063963078),44,4104,104978.089545,260047824.698
82,RICHMOND HILL VETERANS PROGRAM IR,11435,QUEENS,408,40.7083599923,-73.8187369037,POINT (-73.81873551496416 40.70835173026536),46,4106,79842.9340986,207308619.71
83,ALCOHOLISM TREATMENT PROGRAM OP R,11205,BROOKLYN,302,40.6950722509,-73.9766397691,POINT (-73.97663833165207 40.69506399682665),26,4004,73010.0956282,86682052.0213
84,NORTHSIDE CENTER FOR CHILD DEVELOPMENT INC,10029,MANHATTAN,111,40.7971659682,-73.9486200688,POINT (-73.94861863402237 40.79715769275617),13,3804,62599.5024685,64612123.1374
85,PS/MS 306,10453,BRONX,205,40.8513873471,-73.9107690394,POINT (-73.91076761277158 40.85137905954448),6,3707,37374.595308,42281071.5105
86,ST MARTIN DE PORRES CLINIC,11207,BROOKLYN,305,40.6641000224,-73.8970731378,POINT (-73.89707172713803 40.66409177198018),29,4007,44860.7781372,72205366.5338
87,CHN - HELEN B ATKINSON CENTER,10026,MANHATTAN,110,40.801278277,-73.9494570216,POINT (-73.94945558592045 40.80127000162363),12,3803,38111.6886704,39843953.7438
88,EL REGRESO IR 1,11211,BROOKLYN,301,40.7125224215,-73.9619111738,POINT (-73.96190973959504 40.71251416386666),23,4001,73897.4959714,114906677.762
89,PORT RICHMOND HIGH SCHOOL,10302,STATEN ISLAND,501,40.6346009283,-74.1424025593,POINT (-74.1424010717988 40.63459269181897),22,3903,153890.524919,376477826.274
90,EVANDER CHILDS CAMPUS,10467,BRONX,212,40.8751847465,-73.8616346105,POINT (-73.86163319861237 40.87517645307489),1,3702,106167.592328,188993662.687
91,BRONXCARE MEDICAL AND DENTAL AT POE,10458,BRONX,205,40.8605763586,-73.8975030129,POINT (-73.89750159019839 40.86056806931929),5,3706,51826.0737093,43886930.6821
92,WM F RYAN COMMUNITY HEALTH CENTER INC-NENA,10009,MANHATTAN,103,40.721662156,-73.9799849029,POINT (-73.97998346246341 40.72165389677866),18,3809,36351.6176183,48695493.6207
93,LAKESIDE/PARKSHORE ADULT DAY HEALTH CARE CENTER,11236,BROOKLYN,318,40.6487378863,-73.8916766055,POINT (-73.89167519730715 40.6487296390928),31,4009,368930.937178,343640810.866
94,PS 155,11420,QUEENS,410,40.679284276,-73.8101808538,POINT (-73.8101794694182 40.67927601986142),53,4113,111168.400005,172024816.056
95,MOUNT SINAI MORNINGSIDE OP,10025,MANHATTAN,109,40.8056977093,-73.9614766787,POINT (-73.96147523931084 40.80568943314059),11,3802,37927.824564,46903009.3879
96,FMS-SOUTH QUEENS DIALYSIS CENTER,11433,QUEENS,412,40.7056390181,-73.7834681361,POINT (-73.78346675892787 40.70563075545239),52,4112,72793.6040684,260049220.98
97,COMMUNITY HEALTHCARE NETWORK,11432,QUEENS,412,40.705175226,-73.7996495924,POINT (-73.79964821032534 40.7051669634477),52,4112,72793.6040684,260049220.98
98,BROOKLYN PLAZA MEDICAL CENTER,11217,BROOKLYN,302,40.6867475109,-73.9761783694,POINT (-73.97617693269792 40.68673925873966),26,4004,73010.0956282,86682052.0213
99,SAMARITAN DAYTOP VILLAGE INC,10036,MANHATTAN,104,40.7585970286,-73.9904973354,POINT (-73.9904958891008 40.75858876196117),16,3807,71863.8360436,85622064.5857
100,"THE NEW JEWISH HOME ADULT DAY HEALTH CARE PROGRAM, BRONX",10461,BRONX,211,40.8527861957,-73.8369933374,POINT (-73.83699193374596 40.85277790539483),3,3704,47970.2030233,106216908.278
101,MEADOW PARK REHABILITATION AND HEALTH CARE CENTER LLC,11366,QUEENS,408,40.7225734035,-73.8049870736,POINT (-73.80498568828358 40.72256513893402),46,4106,79842.9340986,207308619.71
102,PS 188,10009,MANHATTAN,103,40.7198721684,-73.9773590265,POINT (-73.97735758717621 40.71986391032142),18,3809,36351.6176183,48695493.6207
103,"COMMUNITY HEALTH CENTER OF RICHMOND, INC.",10302,STATEN ISLAND,501,40.6353863025,-74.1348852758,POINT (-74.13488379148859 40.63537806629887),22,3903,153890.524919,376477826.274
104,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,10002,MANHATTAN,103,40.7205441036,-73.9905284884,POINT (-73.99052704429502 40.72053584517778),18,3809,36351.6176183,48695493.6207
105,PREMIER HEALTHCARE D & T CENTER,10017,MANHATTAN,106,40.7497490681,-73.9731635356,POINT (-73.9731620949195 40.74974080294287),17,3808,43083.5505189,44952037.8009
106,FORT TRYON LONG TERM HOME HEALTH CARE PROGRAM,10466,BRONX,212,40.8819207339,-73.839584757,POINT (-73.83958335100489 40.88191243904956),1,3702,106167.592328,188993662.687
107,"DYNAMIC YOUTH COMMUNITY, INC. IR",11230,BROOKLYN,312,40.6127981949,-73.9632557601,POINT (-73.96325433131268 40.61278995736442),36,4014,51089.0682127,87680448.1856
108,COLUMBIADOCTORS/NEWYORK-PRESBYTERIAN IMAGING,10019,MANHATTAN,105,40.7604602498,-73.9788557718,POINT (-73.97885432874818 40.76045198303518),16,3807,71863.8360436,85622064.5857
109,BELLA VISTA HEALTH CENTER,10474,BRONX,202,40.8194208539,-73.889304853,POINT (-73.88930343505024 40.81941257252533),9,3710,90067.9543636,137760289.541
110,HSS HUDSON YARDS,10001,MANHATTAN,104,40.754632148,-74.00224933,POINT (-74.00224787957708 40.75462388390879),16,3807,71863.8360436,85622064.5857
111,BRONX GARDENS REHABILITATION AND NURSING CENTER,10457,BRONX,206,40.8533617344,-73.8908453034,POINT (-73.89084388300411 40.85335344627595),4,3705,68697.5999192,122483690.262
112,MEDCARE LLC,11205,BROOKLYN,303,40.6890562523,-73.9564352699,POINT (-73.95643383943811 40.68904799851479),25,4003,44724.5004612,64036724.4504
113,"SAMARITAN DAYTOP VILLAGE, INC. IR 3",11435,QUEENS,408,40.7083599923,-73.8187369037,POINT (-73.81873551496416 40.70835173026536),46,4106,79842.9340986,207308619.71
114,PUBLIC HEALTH SOLUTIONS FORT GREENE CENTER,11201,BROOKLYN,302,40.6917854719,-73.9820423397,POINT (-73.98204089998356 40.69177721854673),26,4004,73010.0956282,86682052.0213
115,STATEN ISLAND DIALYSIS CENTER,10305,STATEN ISLAND,502,40.5988795262,-74.0806059599,POINT (-74.08060449419891 40.5988712952184),21,3902,153372.622901,675481898.963
116,PHILIP RANDOLPH CAMPUS HS,10031,MANHATTAN,109,40.818394,-73.950867,POINT (-73.95086556278503 40.81838572078605),11,3802,37927.824564,46903009.3879
117,BRONX TREATMENT CENTER,10452,BRONX,204,40.8383935401,-73.9228120363,POINT (-73.9228106064792 40.83838525567855),7,3708,35002.7055809,55881067.7537
118,FREEDOM CENTER OF QUEENS,11366,QUEENS,408,40.7258314264,-73.7925112408,POINT (-73.79250986040894 40.72582316040144),46,4106,79842.9340986,207308619.71
119,VIP COMMUNITY SERVICES SRR,10460,BRONX,206,40.8421344312,-73.8902026095,POINT (-73.89020119051166 40.84212614489501),4,3705,68697.5999192,122483690.262
120,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,11201,BROOKLYN,302,40.697427991,-73.9858561373,POINT (-73.98585469604586 40.6974197364375),26,4004,73010.0956282,86682052.0213
121,HOLLIS PARK MANOR NURSING HOME,11423,QUEENS,412,40.7158408548,-73.7706185868,POINT (-73.77061721331178 40.7158325895512),52,4112,72793.6040684,260049220.98
122,"DIALYZE DIRECT NY, LLC",11204,BROOKLYN,312,40.6318713446,-73.984911252,POINT (-73.98490981557325 40.63186310334424),36,4014,51089.0682127,87680448.1856
123,MEMORIAL SLOAN KETTERING 64TH STREET OUTPATIENT CENTER,10065,MANHATTAN,108,40.7647692525,-73.9635932373,POINT (-73.96359179858457 40.76476098416092),14,3805,54449.5033787,55222267.9563
124,JEWISH BOARD OF FAMILY AND CHILDREN'S SERVICES INC,10020,MANHATTAN,105,40.7609545092,-73.9820510959,POINT (-73.98204965228204 40.76094624217814),16,3807,71863.8360436,85622064.5857
125,PONCE DE LEON ELEMENTARY SCHOOL/PS 161,10455,BRONX,201,40.8145767386,-73.9052298842,POINT (-73.90522846093577 40.81456845806433),9,3710,90067.9543636,137760289.541
126,FRANKLIN HOUSE SRR,10456,BRONX,203,40.8269302474,-73.9069527808,POINT (-73.90695135697922 40.826921965783),4,3705,68697.5999192,122483690.262
127,NY MED,11375,QUEENS,406,40.721569,-73.84848,POINT (-73.8484786011341 40.72156073643071),48,4108,37999.6381715,77765102.8446
128,RYAN HEALTH | WADSWORTH,10033,MANHATTAN,112,40.8498389323,-73.9355151596,POINT (-73.93551372534579 40.84983064662224),10,3801,62589.0551493,81247268.6263
129,BMS AT GENESIS,11207,BROOKLYN,305,40.666336,-73.900291,POINT (-73.90028958776158 40.66632774937666),29,4007,44860.7781372,72205366.5338
130,HSS BROOKLYN OUTPATIENT CENTER,11232,BROOKLYN,307,40.6551763363,-74.0118932054,POINT (-74.01189175896536 40.65516809119622),34,4012,96983.6271364,112208109.35
131,FMS-NEPHRO CARE WEST,11215,BROOKLYN,306,40.6740104087,-73.9869640118,POINT (-73.98696257169046 40.67400215856502),27,4005,95462.4834828,114514600.094
132,CONDUIT AVENUE DIALYSIS,11413,QUEENS,413,40.6653268424,-73.7574085603,POINT (-73.75740719430618 40.66531858702646),45,4105,206027.45579,550135981.616
133,X 174,10473,BRONX,209,40.8149670933,-73.8560715944,POINT (-73.85607018777839 40.81495881210458),8,3709,73288.7773801,124117768.897
134,CENTERLIGHT HEALTHCARE D&TC,10029,MANHATTAN,111,40.7863617546,-73.9474116478,POINT (-73.94741021297565 40.78635348132017),13,3804,62599.5024685,64612123.1374
135,ALL COUNTY LLC,11365,QUEENS,407,40.7390567163,-73.8072781334,POINT (-73.80727674673228 40.73904844730509),43,4103,149451.567392,329873810.656
136,BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,11207,BROOKLYN,305,40.676373977,-73.8983348005,POINT (-73.89833338923054 40.6763657240522),30,4008,97558.4670821,164339106.08
137,FAMILY AND EMPLOYMENT SERVICES PGM OP,10029,MANHATTAN,111,40.7850782607,-73.9450254421,POINT (-73.94502400891794 40.78506998808025),13,3804,62599.5024685,64612123.1374
138,RIVERSIDE HEALTH CENTER,10025,MANHATTAN,107,40.7959193695,-73.9678490558,POINT (-73.96784761445913 40.79591109541698),15,3806,47538.4259936,88497862.2383
139,PELHAM PARKWAY NURSING CARE AND REHABILITATION FACILITY LLC,10469,BRONX,211,40.8613997354,-73.8564032737,POINT (-73.85640186436144 40.86139144446711),3,3704,47970.2030233,106216908.278
140,CENTER FOR COMMUNITY HEALTH,11215,BROOKLYN,306,40.6681665834,-73.978187221,POINT (-73.97818578484153 40.66815833433202),27,4005,95462.4834828,114514600.094
141,"ON YOUR MARK, INC",10301,STATEN ISLAND,501,40.6309452429,-74.0886581188,POINT (-74.08865664873787 40.63093700473478),22,3903,153890.524919,376477826.274
142,INTERMEDIATE SCHOOL 45,10458,BRONX,206,40.858738,-73.887108,POINT (-73.88710658069294 40.85872971163352),4,3705,68697.5999192,122483690.262
143,THE CHILDRENS AID SOCIETY,10460,BRONX,203,40.8341461845,-73.88927866,POINT (-73.88927724198064 40.83413790031923),4,3705,68697.5999192,122483690.262
144,CARE COUNSELING CENTER LLC OP,10026,MANHATTAN,110,40.803313921,-73.953420568,POINT (-73.95341913135339 40.80330564550578),12,3803,38111.6886704,39843953.7438
145,2021 GRAND CONCOURSE,10453,BRONX,205,40.851776,-73.904449,POINT (-73.90444757578526 40.85176771277477),6,3707,37374.595308,42281071.5105
146,PUERTO RICAN FAMILY INSTITUTE INC,11206,BROOKLYN,301,40.7014114303,-73.9415331625,POINT (-73.94153173513105 40.70140317383431),23,4001,73897.4959714,114906677.762
147,"PARKMED NYC, LLC",10017,MANHATTAN,106,40.7500615704,-73.9716578549,POINT (-73.97165641511327 40.75005330598774),17,3808,43083.5505189,44952037.8009
148,ST JOHNS EPISCOPAL HOSPITAL SO SHORE,11691,QUEENS,414,40.5985728947,-73.7534671029,POINT (-73.75346574267107 40.59856465218497),54,4114,402487.073726,310522670.444
149,"T.R.I. CENTER, INC.  OP R",10018,MANHATTAN,105,40.7521343163,-73.9878226902,POINT (-73.98782124434722 40.75212605212206),16,3807,71863.8360436,85622064.5857
150,LA CASITA III-THE MIX IR 1,10455,BRONX,201,40.8180183752,-73.9027807811,POINT (-73.90277935936346 40.81801009463578),9,3710,90067.9543636,137760289.541
151,KINGS CO. HOSP. OTP 2,11203,BROOKLYN,309,40.6566377635,-73.9449333283,POINT (-73.94493190226326 40.65662951588077),33,4011,34953.4245338,47617950.8156
152,POSTGRADUATE CENTER FOR MENTAL HEALTH,10016,MANHATTAN,106,40.7464592407,-73.9783381798,POINT (-73.97833673815022 40.74645097703698),17,3808,43083.5505189,44952037.8009
153,BRONXCARE MBD FAMILY PRACTICE,10460,BRONX,203,40.8356667642,-73.8852991819,POINT (-73.8852977644528 40.83565847954321),4,3705,68697.5999192,122483690.262
154,MONTEFIORE MEDICAL CENTER,10451,BRONX,204,40.8254538195,-73.9190734365,POINT (-73.91907200875495 40.82544553843796),7,3708,35002.7055809,55881067.7537
155,INTERMEDIATE SCHOOL 145,11372,QUEENS,403,40.7542624139,-73.8874239419,POINT (-73.88742252943749 40.7542541455147),42,4102,64416.9369837,117155733.277
